   Y(Boylam)    X(Enlem)
   27.0499859   38.3890827
   26.9616941   38.4940251
   27.1225200   38.3251500
   27.0925900   38.4637480
   27.1441227   38.4144802
   26.9707400   38.7995610
   27.6479490   38.2174819
   27.1382404   38.4793887
   27.1799130   39.1214490
   28.2106000   38.0847000
   27.2176900   38.4709820
   27.1747090   38.3854789
   26.3032150   38.3243110
   26.8891990   39.0749000
   26.7579180   38.6703780
   26.8825930   38.3624380
   27.0917320   38.3618830
   26.5127380   38.6382509
   27.4188000   38.4275000
   27.3818000   39.0859000
   28.2064000   38.2302000
   27.1326680   38.2517440
   27.0696580   38.6103660
   26.9940815   38.3962659
   27.9717606   38.2190057
   26.8344020   38.1951500
   27.3699540   37.9508450
   27.7318380   38.0894780
   27.3644940   38.1557310
   26.7668100   38.3249720
   27.9379640   38.5163810
   27.8366200   38.9176640
   28.5165410   38.3544580
   28.6585440   39.0473360
   27.9184260   38.7139130
   28.2886680   38.9330290
   27.6734210   39.1050610
   28.4042890   38.7482210
   28.6445850   38.5432340
   28.1380520   38.4870740
   28.6964340   38.2383510
   27.5698180   38.7349820
   28.8673670   38.7439880
   27.6087920   39.1851130
   27.4295624   38.6140337
   27.7084100   38.5001610
   27.3878497   38.6262479
   28.3101570   37.6728730
   28.7429600   37.9639030
   28.0611400   37.6140810
   27.2647290   37.3760940
   27.8455601   37.8380162
   27.6011340   37.8726480
   27.7234240   37.8537850
   28.6072310   37.7290680
   27.8358090   37.5603500
   27.7049745   37.7620671
   28.0521330   37.8536940
   27.2610150   37.8579130
   28.4597860   37.9138610
   28.3242940   37.9097770
   27.4056660   37.7519610
   28.1544630   37.8897330
   28.1956790   37.8233960
   29.3511430   37.4263850
   28.8587820   37.8106610
   29.6069090   37.9767480
   29.4187850   38.2301670
   28.8975090   37.2359950
   29.6063900   37.8210210
   28.8345980   38.0442060
   29.3972790   38.0830130
   29.3514820   37.0767680
   29.6683230   37.8250350
   29.7402580   38.3021200
   29.0643560   38.1544809
   29.2642560   37.7569600
   28.8498920   37.4518930
   29.0772146   37.7835168
   29.1103070   37.9186089
   28.9230780   37.9244520
   29.2660390   37.5879550
   29.0713290   37.5730680
   29.9857320   39.4199547
   30.1085560   39.0579970
   29.8703450   39.2149020
   29.6172460   39.1968720
   29.6127310   39.8009990
   29.9762000   38.8552000
   29.2578990   39.3444130
   29.3957050   38.9907360
   29.1239000   38.9951999
   29.2200650   39.0249100
   29.2358960   39.2465280
   28.9787000   39.0896000
   29.4914000   39.5470000
   30.5387038   38.7568852
   30.0092850   37.8987840
   30.9239010   38.9842570
   31.0484000   38.7126000
   31.0260430   38.5922569
   30.7815460   38.7014680
   29.8601000   37.9199000
   30.1688000   38.0668999
   31.1510000   39.0202000
   29.8858360   38.0418310
   29.9696680   38.5766730
   30.4167880   39.0318810
   30.7491960   38.8612860
   30.1524000   38.2588000
   30.2726280   38.4651790
   30.2448100   38.7421880
   31.2299120   38.5316370
   30.5444170   38.5328970
   29.4058825   38.6742286
   29.7531740   38.7398200
   28.9713840   38.3998800
   29.5314980   38.3199450
   29.6838640   38.4999030
   29.2904510   38.4216600
   27.4305400   37.0344070
   28.7999910   36.7666200
   27.6858440   36.7262170
   29.1263470   36.6592460
   28.3661230   37.4453820
   28.6885930   36.9660340
   28.2708780   36.8549360
   27.7807950   37.3116380
   28.3633940   37.2153740
   28.7654690   36.8387230
   29.3591524   36.6480362
   28.4177560   37.1021530
   28.1400320   37.3402530
